datetime,timestamp_ms,ppm,temperature_c,battery_mv,status
2026-06-01 12:29:17,2394390,0.452,28.36,118,1
2026-06-01 12:29:20,2397420,0.599,28.37,118,1
2026-06-01 12:29:23,2400450,0.851,28.37,118,1
2026-06-01 12:29:26,2403480,-0.052,28.37,118,1
2026-06-01 12:29:29,2406510,0.074,28.37,119,1
2026-06-01 12:29:32,2409540,0.158,28.37,118,1
2026-06-01 12:29:35,2412570,-0.326,28.37,118,1
2026-06-01 12:29:38,2415600,-0.704,28.38,118,1
2026-06-01 12:29:41,2418630,-0.179,28.37,118,1
2026-06-01 12:29:44,2421660,0.662,28.38,118,1
2026-06-01 12:29:47,2424690,0.158,28.38,119,1
2026-06-01 12:29:50,2427720,-0.431,28.38,118,1
2026-06-01 12:29:53,2430750,-0.305,28.38,119,1
2026-06-01 12:29:57,2433780,0.704,28.38,118,1
2026-06-01 12:30:00,2436810,0.830,28.38,118,1
2026-06-01 12:30:03,2439840,0.557,28.38,118,1
2026-06-01 12:30:06,2442870,0.893,28.38,118,1
2026-06-01 12:30:09,2445900,0.620,28.39,118,1
2026-06-01 12:30:12,2448930,1.628,28.39,118,1
2026-06-01 12:30:15,2451960,1.292,28.38,118,1
2026-06-01 12:30:18,2454990,0.221,28.39,119,1
2026-06-01 12:30:21,2458020,-1.082,28.39,118,1
2026-06-01 12:30:24,2461050,-0.305,28.39,118,1
2026-06-01 12:30:27,2464080,1.229,28.39,118,1
2026-06-01 12:30:30,2467110,-0.767,28.39,118,1
2026-06-01 12:30:33,2470140,0.095,28.39,118,1
2026-06-01 12:30:36,2473170,0.389,28.39,118,1
2026-06-01 12:30:39,2476200,0.473,28.39,118,1
2026-06-01 12:30:42,2479230,0.788,28.40,118,1
2026-06-01 12:30:45,2482260,-0.368,28.40,118,1
2026-06-01 12:30:48,2485290,0.095,28.40,118,1
2026-06-01 12:30:51,2488320,0.872,28.40,118,1
2026-06-01 12:30:54,2491350,0.074,28.40,118,1
2026-06-01 12:30:57,2494380,0.095,28.40,119,1
2026-06-01 12:31:00,2497410,0.200,28.40,119,1
2026-06-01 12:31:03,2500440,1.103,28.40,119,1
2026-06-01 12:31:06,2503470,0.599,28.40,118,1
2026-06-01 12:31:09,2506500,0.683,28.40,118,1
2026-06-01 12:31:12,2509530,-0.095,28.40,118,1
2026-06-01 12:31:15,2512560,0.746,28.40,118,1
2026-06-01 12:31:18,2515590,1.019,28.40,119,1
2026-06-01 12:31:21,2518620,0.053,28.40,119,1
2026-06-01 12:31:24,2521650,0.368,28.40,118,1
2026-06-01 12:31:27,2524680,0.053,28.40,118,1
2026-06-01 12:31:30,2527710,0.536,28.40,118,1
2026-06-01 12:31:33,2530740,0.095,28.40,118,1
2026-06-01 12:31:37,2533770,0.284,28.40,118,1
2026-06-01 12:31:40,2536800,0.620,28.39,118,1
2026-06-01 12:31:43,2539830,0.473,28.39,118,1
2026-06-01 12:31:46,2542860,0.872,28.39,118,1
2026-06-01 12:31:49,2545890,0.935,28.39,118,1
2026-06-01 12:31:52,2548920,-0.410,28.39,118,1
2026-06-01 12:31:55,2551950,0.389,28.39,118,1
2026-06-01 12:31:58,2554980,1.250,28.39,118,1
2026-06-01 12:32:01,2558010,-0.200,28.39,118,1
2026-06-01 12:32:04,2561040,-0.242,28.39,118,1
2026-06-01 12:32:07,2564070,-0.010,28.39,118,1
2026-06-01 12:32:10,2567100,0.557,28.39,118,1
2026-06-01 12:32:13,2570130,0.977,28.39,118,1
2026-06-01 12:32:16,2573160,0.200,28.39,118,1
2026-06-01 12:32:19,2576190,0.557,28.39,118,1
2026-06-01 12:32:22,2579220,0.305,28.38,118,1
2026-06-01 12:32:25,2582250,0.704,28.39,118,1
2026-06-01 12:32:28,2585280,0.116,28.38,118,1
2026-06-01 12:32:31,2588310,0.305,28.38,118,1
2026-06-01 12:32:34,2591340,0.410,28.38,118,1
2026-06-01 12:32:37,2594370,0.725,28.38,118,1
2026-06-01 12:32:40,2597400,0.368,28.38,118,1
2026-06-01 12:32:43,2600430,0.473,28.38,118,1
2026-06-01 12:32:46,2603460,0.410,28.38,118,1
2026-06-01 12:32:49,2606490,0.137,28.38,118,1
2026-06-01 12:32:52,2609520,-0.010,28.38,118,1
2026-06-01 12:32:55,2612550,0.011,28.37,118,1
2026-06-01 12:32:58,2615580,0.557,28.38,118,1
2026-06-01 12:33:01,2618610,-1.250,28.37,118,1
2026-06-01 12:33:04,2621640,0.662,28.37,118,1
2026-06-01 12:33:07,2624670,0.557,28.38,118,1
2026-06-01 12:33:10,2627700,0.536,28.37,118,1
2026-06-01 12:33:13,2630730,-0.074,28.37,118,1
2026-06-01 12:33:17,2633760,0.788,28.37,118,1
2026-06-01 12:33:20,2636790,1.103,28.37,118,1
2026-06-01 12:33:23,2639820,1.376,28.37,118,1
2026-06-01 12:33:26,2642850,0.914,28.37,118,1
2026-06-01 12:33:29,2645880,0.620,28.37,118,1
2026-06-01 12:33:32,2648910,-0.116,28.37,118,1
2026-06-01 12:33:35,2651940,-0.452,28.37,119,1
2026-06-01 12:33:38,2654970,0.137,28.37,118,1
2026-06-01 12:33:41,2658000,-0.074,28.37,118,1
2026-06-01 12:33:44,2661030,0.284,28.37,118,1
2026-06-01 12:33:47,2664060,0.242,28.37,118,1
2026-06-01 12:33:50,2667090,0.389,28.37,118,1
2026-06-01 12:33:53,2670120,0.200,28.37,118,1
2026-06-01 12:33:56,2673150,0.347,28.37,118,1
2026-06-01 12:33:59,2676180,0.347,28.36,118,1
2026-06-01 12:34:02,2679210,0.242,28.36,118,1
2026-06-01 12:34:05,2682240,-0.872,28.37,118,1
2026-06-01 12:34:08,2685270,0.578,28.36,118,1
2026-06-01 12:34:11,2688300,0.221,28.36,118,1
2026-06-01 12:34:14,2691330,0.347,28.36,118,1
2026-06-01 12:34:17,2694360,-0.242,28.36,118,1
2026-06-01 12:34:20,2697390,0.242,28.36,118,1
2026-06-01 12:34:23,2700420,0.200,28.36,118,1
2026-06-01 12:34:26,2703450,1.187,28.36,118,1
2026-06-01 12:34:29,2706480,0.494,28.36,117,1
2026-06-01 12:34:32,2709510,-0.010,28.36,117,1
2026-06-01 12:34:35,2712540,0.809,28.36,117,1
2026-06-01 12:34:38,2715570,-0.031,28.36,118,1
2026-06-01 12:34:41,2718600,-0.031,28.36,118,1
2026-06-01 12:34:44,2721630,0.221,28.36,118,1
2026-06-01 12:34:47,2724660,0.326,28.36,118,1
2026-06-01 12:34:50,2727690,0.284,28.36,117,1
2026-06-01 12:34:53,2730720,0.305,28.36,118,1
2026-06-01 12:34:56,2733750,-0.683,28.37,118,1
2026-06-01 12:35:00,2736780,-0.200,28.36,118,1
2026-06-01 12:35:03,2739810,0.242,28.36,118,1
2026-06-01 12:35:06,2742840,0.284,28.37,117,1
2026-06-01 12:35:09,2745870,0.893,28.38,117,1
2026-06-01 12:35:12,2748900,0.809,28.37,118,1
2026-06-01 12:35:15,2751930,0.011,28.37,118,1
2026-06-01 12:35:18,2754960,-0.010,28.38,117,1
2026-06-01 12:35:21,2757990,0.284,28.38,117,1
2026-06-01 12:35:24,2761020,1.271,28.38,118,1
2026-06-01 12:35:27,2764050,0.158,28.38,118,1
2026-06-01 12:35:30,2767080,-0.200,28.38,118,1
2026-06-01 12:35:33,2770110,0.956,28.38,118,1
2026-06-01 12:35:36,2773140,0.935,28.38,118,1
2026-06-01 12:35:39,2776170,0.578,28.38,118,1
2026-06-01 12:35:42,2779200,0.998,28.38,118,1
2026-06-01 12:35:45,2782230,-0.179,28.37,118,1
2026-06-01 12:35:48,2785260,0.389,28.37,118,1
2026-06-01 12:35:51,2788290,-0.074,28.37,118,1
2026-06-01 12:35:54,2791320,-0.010,28.37,118,1
2026-06-01 12:35:57,2794350,0.326,28.37,118,1
2026-06-01 12:36:00,2797380,-0.284,28.37,118,1
2026-06-01 12:36:03,2800410,0.410,28.37,118,1
2026-06-01 12:36:06,2803440,0.116,28.37,118,1
2026-06-01 12:36:09,2806470,0.578,28.37,118,1
2026-06-01 12:36:12,2809500,0.242,28.38,118,1
2026-06-01 12:36:15,2812530,0.242,28.37,118,1
2026-06-01 12:36:18,2815560,0.011,28.38,117,1
2026-06-01 12:36:21,2818590,-0.158,28.37,118,1
2026-06-01 12:36:24,2821620,0.410,28.37,118,1
2026-06-01 12:36:27,2824650,-0.010,28.38,119,1
2026-06-01 12:36:30,2827680,0.221,28.38,117,1
2026-06-01 12:36:33,2830710,-0.179,28.38,118,1
2026-06-01 12:36:36,2833740,-0.452,28.38,118,1
2026-06-01 12:36:40,2836770,0.158,28.38,118,1
2026-06-01 12:36:43,2839800,0.368,28.38,118,1
2026-06-01 12:36:46,2842830,0.179,28.38,118,1
2026-06-01 12:36:49,2845860,0.137,28.38,118,1
2026-06-01 12:36:52,2848890,0.935,28.38,118,1
2026-06-01 12:36:55,2851920,0.431,28.38,118,1
2026-06-01 12:36:58,2854950,0.116,28.38,118,1
2026-06-01 12:37:01,2857980,-0.389,28.38,118,1
2026-06-01 12:37:04,2861010,0.536,28.38,118,1
2026-06-01 12:37:07,2864040,-0.158,28.38,118,1
2026-06-01 12:37:10,2867070,0.515,28.38,118,1
2026-06-01 12:37:13,2870100,-0.809,28.38,118,1
2026-06-01 12:37:16,2873130,0.221,28.38,118,1
2026-06-01 12:37:19,2876160,1.187,28.38,118,1
2026-06-01 12:37:22,2879190,-0.242,28.38,117,1
2026-06-01 12:37:25,2882220,0.998,28.38,118,1
2026-06-01 12:37:28,2885250,-0.116,28.38,118,1
2026-06-01 12:37:31,2888280,-0.074,28.38,118,1
2026-06-01 12:37:34,2891310,0.767,28.38,118,1
2026-06-01 12:37:37,2894340,0.200,28.39,118,1
2026-06-01 12:37:40,2897370,0.893,28.39,118,1
2026-06-01 12:37:43,2900400,-0.641,28.39,118,1
2026-06-01 12:37:46,2903430,-0.746,28.39,118,1
2026-06-01 12:37:49,2906460,0.494,28.38,118,1
2026-06-01 12:37:52,2909490,0.830,28.39,118,1
2026-06-01 12:37:55,2912520,0.746,28.39,118,1
2026-06-01 12:37:58,2915550,0.326,28.39,118,1
2026-06-01 12:38:01,2918580,-0.116,28.39,118,1
2026-06-01 12:38:04,2921610,0.788,28.39,118,1
2026-06-01 12:38:07,2924640,-0.200,28.39,118,1
2026-06-01 12:38:10,2927670,0.221,28.39,118,1
2026-06-01 12:38:13,2930700,0.305,28.39,118,1
2026-06-01 12:38:16,2933730,0.473,28.39,117,1
2026-06-01 12:38:19,2936760,0.179,28.38,118,1
2026-06-01 12:38:23,2939790,0.557,28.39,117,1
2026-06-01 12:38:26,2942820,-0.010,28.38,117,1
2026-06-01 12:38:29,2945850,1.124,28.39,118,1
2026-06-01 12:38:32,2948880,-0.473,28.39,118,1
2026-06-01 12:38:35,2951910,-0.725,28.39,118,1
2026-06-01 12:38:38,2954940,0.536,28.38,118,1
2026-06-01 12:38:41,2957970,0.032,28.38,118,1
2026-06-01 12:38:44,2961000,0.368,28.39,118,1
2026-06-01 12:38:47,2964030,0.263,28.38,118,1
2026-06-01 12:38:50,2967060,0.725,28.38,118,1
2026-06-01 12:38:53,2970090,-0.031,28.38,118,1
2026-06-01 12:38:56,2973120,0.557,28.39,118,1
2026-06-01 12:38:59,2976150,0.452,28.39,117,1
2026-06-01 12:39:02,2979180,-0.599,28.39,117,1
2026-06-01 12:39:05,2982210,0.998,28.39,116,1
2026-06-01 12:39:08,2985240,0.473,28.39,117,1
2026-06-01 12:39:11,2988270,-0.662,28.39,118,1
2026-06-01 12:39:14,2991300,0.179,28.39,117,1
2026-06-01 12:39:17,2994330,-0.305,28.39,118,1
2026-06-01 12:39:20,2997360,0.200,28.39,118,1
2026-06-01 12:39:23,3000390,0.620,28.39,117,1
2026-06-01 12:39:26,3003420,0.683,28.39,117,1
2026-06-01 12:39:29,3006450,0.536,28.39,117,1
2026-06-01 12:39:32,3009480,0.032,28.40,117,1
2026-06-01 12:39:35,3012510,-0.263,28.39,117,1
2026-06-01 12:39:38,3015540,0.473,28.39,117,1
2026-06-01 12:39:41,3018570,0.473,28.39,117,1
2026-06-01 12:39:44,3021600,0.347,28.39,118,1
2026-06-01 12:39:47,3024630,1.271,28.39,117,1
2026-06-01 12:39:50,3027660,-0.074,28.39,117,1
2026-06-01 12:39:53,3030690,-0.179,28.39,117,1
2026-06-01 12:39:56,3033720,-0.305,28.40,117,1
2026-06-01 12:39:59,3036750,0.956,28.40,116,1
2026-06-01 12:40:03,3039780,0.893,28.40,117,1
2026-06-01 12:40:06,3042810,0.998,28.40,117,1
2026-06-01 12:40:09,3045840,1.439,28.40,117,1
2026-06-01 12:40:12,3048870,0.179,28.40,118,1
2026-06-01 12:40:15,3051900,1.313,28.40,118,1
2026-06-01 12:40:18,3054930,0.116,28.40,118,1
2026-06-01 12:40:21,3057960,0.053,28.40,118,1
2026-06-01 12:40:24,3060990,0.347,28.40,120,1
2026-06-01 12:40:27,3064020,0.641,28.40,119,1
2026-06-01 12:40:30,3067050,1.124,28.40,119,1
2026-06-01 12:40:33,3070080,0.578,28.40,118,1
2026-06-01 12:40:36,3073110,0.914,28.40,118,1
2026-06-01 12:40:39,3076140,0.305,28.40,118,1
2026-06-01 12:40:42,3079170,-0.431,28.40,118,1
2026-06-01 12:40:45,3082200,-0.557,28.40,118,1
2026-06-01 12:40:48,3085230,-0.074,28.40,118,1
2026-06-01 12:40:51,3088260,0.998,28.40,117,1
2026-06-01 12:40:54,3091290,0.998,28.40,117,1
2026-06-01 12:40:57,3094320,0.011,28.40,118,1
2026-06-01 12:41:00,3097350,-0.179,28.40,117,1
2026-06-01 12:41:03,3100380,1.439,28.40,117,1
2026-06-01 12:41:06,3103410,1.061,28.40,117,1
2026-06-01 12:41:09,3106440,0.368,28.40,118,1
2026-06-01 12:41:12,3109470,0.200,28.40,118,1
2026-06-01 12:41:15,3112500,-0.052,28.40,118,1
2026-06-01 12:41:18,3115530,0.704,28.40,118,1
2026-06-01 12:41:21,3118560,0.704,28.41,118,1
2026-06-01 12:41:24,3121590,0.599,28.40,118,1
2026-06-01 12:41:27,3124620,0.641,28.41,118,1
2026-06-01 12:41:30,3127650,0.011,28.40,118,1
2026-06-01 12:41:33,3130680,1.376,28.41,117,1
2026-06-01 12:41:36,3133710,0.914,28.40,118,1
2026-06-01 12:41:39,3136740,0.557,28.41,117,1
2026-06-01 12:41:43,3139770,0.053,28.40,118,1
2026-06-01 12:41:46,3142800,-0.263,28.41,118,1
2026-06-01 12:41:49,3145830,0.683,28.41,118,1
2026-06-01 12:41:52,3148860,-0.431,28.40,119,1
2026-06-01 12:41:55,3151890,-0.326,28.41,118,1
2026-06-01 12:41:58,3154920,-0.242,28.41,118,1
2026-06-01 12:42:01,3157950,-0.116,28.41,118,1
2026-06-01 12:42:04,3160980,0.074,28.41,118,1
2026-06-01 12:42:07,3164010,1.082,28.41,118,1
2026-06-01 12:42:10,3167040,0.116,28.41,118,1
2026-06-01 12:42:13,3170070,0.536,28.41,117,1
2026-06-01 12:42:16,3173100,0.893,28.41,118,1
2026-06-01 12:42:19,3176130,0.116,28.41,118,1
2026-06-01 12:42:22,3179160,0.746,28.41,118,1
2026-06-01 12:42:25,3182190,1.145,28.41,118,1
2026-06-01 12:42:28,3185220,0.494,28.41,117,1
2026-06-01 12:42:31,3188250,0.011,28.41,118,1
2026-06-01 12:42:34,3191280,0.893,28.41,117,1
2026-06-01 12:42:37,3194310,0.095,28.41,118,1
2026-06-01 12:42:40,3197340,0.536,28.41,117,1
2026-06-01 12:42:43,3200370,-0.473,28.41,118,1
2026-06-01 12:42:46,3203400,0.452,28.42,118,1
2026-06-01 12:42:49,3206430,1.229,28.41,118,1
2026-06-01 12:42:52,3209460,0.935,28.41,117,1
2026-06-01 12:42:55,3212490,0.326,28.41,118,1
2026-06-01 12:42:58,3215520,0.284,28.41,118,1
2026-06-01 12:43:01,3218550,1.061,28.41,118,1
2026-06-01 12:43:04,3221580,0.620,28.41,118,1
2026-06-01 12:43:07,3224610,1.670,28.42,117,1
2026-06-01 12:43:10,3227640,0.998,28.41,118,1
2026-06-01 12:43:13,3230670,-0.599,28.41,118,1
2026-06-01 12:43:16,3233700,0.263,28.41,118,1
2026-06-01 12:43:19,3236730,-0.158,28.42,118,1
2026-06-01 12:43:22,3239760,0.725,28.42,117,1
2026-06-01 12:43:26,3242790,1.271,28.42,118,1
2026-06-01 12:43:29,3245820,0.578,28.41,118,1
2026-06-01 12:43:32,3248850,0.788,28.41,117,1
2026-06-01 12:43:35,3251880,1.061,28.41,118,1
2026-06-01 12:43:38,3254910,1.082,28.42,118,1
2026-06-01 12:43:41,3257940,0.557,28.41,117,1
2026-06-01 12:43:44,3260970,0.515,28.42,117,1
2026-06-01 12:43:47,3264000,0.326,28.42,117,1
2026-06-01 12:43:50,3267030,0.473,28.42,117,1
2026-06-01 12:43:53,3270060,0.683,28.42,118,1
2026-06-01 12:43:56,3273090,-0.031,28.42,114,1
2026-06-01 12:43:59,3276120,1.586,28.42,115,1
2026-06-01 12:44:02,3279150,-0.095,28.42,117,1
2026-06-01 12:44:05,3282180,0.158,28.42,117,1
2026-06-01 12:44:08,3285210,0.305,28.42,117,1
2026-06-01 12:44:11,3288240,0.410,28.42,118,1
2026-06-01 12:44:14,3291270,0.914,28.42,118,1
2026-06-01 12:44:17,3294300,1.397,28.42,117,1
2026-06-01 12:44:20,3297330,0.263,28.42,118,1
2026-06-01 12:44:23,3300360,1.670,28.42,118,1
2026-06-01 12:44:26,3303390,0.893,28.42,118,1
2026-06-01 12:44:29,3306420,0.956,28.42,118,1
2026-06-01 12:44:32,3309450,0.179,28.42,118,1
2026-06-01 12:44:35,3312480,0.998,28.42,118,1
2026-06-01 12:44:38,3315510,0.956,28.42,117,1
2026-06-01 12:44:41,3318540,0.620,28.43,117,1
2026-06-01 12:44:44,3321570,0.305,28.42,117,1
2026-06-01 12:44:47,3324600,0.620,28.43,119,1
2026-06-01 12:44:50,3327630,0.599,28.42,117,1
2026-06-01 12:44:53,3330660,0.515,28.43,116,1
2026-06-01 12:44:56,3333690,1.691,28.43,117,1
2026-06-01 12:44:59,3336720,0.158,28.42,117,1
2026-06-01 12:45:02,3339750,0.179,28.43,117,1
2026-06-01 12:45:06,3342780,0.200,28.43,119,1
2026-06-01 12:45:09,3345810,0.389,28.43,117,1
2026-06-01 12:45:12,3348840,1.271,28.43,118,1
2026-06-01 12:45:15,3351870,-0.158,28.43,118,1
2026-06-01 12:45:18,3354900,0.431,28.43,117,1
2026-06-01 12:45:21,3357930,0.809,28.43,117,1
2026-06-01 12:45:24,3360960,0.284,28.43,117,1
2026-06-01 12:45:27,3363990,0.788,28.43,117,1
2026-06-01 12:45:30,3367020,0.620,28.43,118,1
2026-06-01 12:45:33,3370050,0.977,28.43,118,1
2026-06-01 12:45:36,3373080,0.074,28.43,119,1
2026-06-01 12:45:39,3376110,0.410,28.44,118,1
2026-06-01 12:45:42,3379140,-0.200,28.43,117,1
2026-06-01 12:45:45,3382170,0.221,28.44,118,1
2026-06-01 12:45:48,3385200,0.452,28.44,117,1
2026-06-01 12:45:51,3388230,0.599,28.44,117,1
2026-06-01 12:45:54,3391260,0.977,28.44,119,1
2026-06-01 12:45:57,3394290,1.145,28.44,116,1
2026-06-01 12:46:00,3397320,0.704,28.44,117,1
2026-06-01 12:46:03,3400350,0.326,28.44,118,1
2026-06-01 12:46:06,3403380,0.347,28.44,117,1
2026-06-01 12:46:09,3406410,0.179,28.45,115,1
2026-06-01 12:46:12,3409440,0.137,28.45,126,17
2026-06-01 12:46:15,3412470,0.473,28.45,118,1
2026-06-01 12:46:18,3415500,0.368,28.47,118,1
2026-06-01 12:46:21,3418530,0.158,28.51,120,1
2026-06-01 12:46:24,3421560,0.977,28.53,119,1
2026-06-01 12:46:27,3424590,0.830,28.53,117,1
2026-06-01 12:46:30,3427620,1.019,28.53,117,1
2026-06-01 12:46:33,3430650,0.515,28.53,118,1
2026-06-01 12:46:36,3433680,0.620,28.54,120,1
2026-06-01 12:46:39,3436710,0.788,28.54,121,1
2026-06-01 12:46:42,3439740,1.082,28.53,116,1
2026-06-01 12:46:46,3442770,0.494,28.54,117,1
2026-06-01 12:46:49,3445800,-0.158,28.54,118,1
2026-06-01 12:46:52,3448830,0.788,28.53,118,1
2026-06-01 12:46:55,3451860,0.158,28.54,118,1
2026-06-01 12:46:58,3454890,0.767,28.54,118,1
2026-06-01 12:47:01,3457920,0.452,28.53,119,1
2026-06-01 12:47:04,3460950,0.515,28.53,119,1
2026-06-01 12:47:07,3463980,0.725,28.53,118,1
2026-06-01 12:47:10,3467010,0.683,28.53,119,1
2026-06-01 12:47:13,3470040,0.494,28.54,119,1
2026-06-01 12:47:16,3473070,1.040,28.53,119,1
2026-06-01 12:47:19,3476100,0.914,28.53,117,1
2026-06-01 12:47:22,3479130,0.431,28.53,118,1
2026-06-01 12:47:25,3482160,0.914,28.53,119,1
2026-06-01 12:47:28,3485190,0.473,28.53,118,1
2026-06-01 12:47:31,3488220,1.271,28.53,119,1
2026-06-01 12:47:34,3491250,0.956,28.54,118,1
2026-06-01 12:47:37,3494280,0.410,28.54,120,1
2026-06-01 12:47:40,3497310,0.893,28.54,119,1
2026-06-01 12:47:43,3500340,0.494,28.54,119,1
2026-06-01 12:47:46,3503370,0.053,28.54,118,1
2026-06-01 12:47:49,3506400,1.502,28.54,118,1
